SNo,BRate,Timestamp
1,22.0,2025-03-11 11:14:43
2,22.0,2025-03-11 11:14:44
3,22.0,2025-03-11 11:14:45
4,22.0,2025-03-11 11:14:46
5,22.0,2025-03-11 11:14:47
6,22.0,2025-03-11 11:14:48
7,22.0,2025-03-11 11:14:49
8,17.0,2025-03-11 11:14:50
9,17.0,2025-03-11 11:14:51
10,17.0,2025-03-11 11:14:52
11,17.0,2025-03-11 11:14:53
12,17.0,2025-03-11 11:14:54
13,17.0,2025-03-11 11:14:55
14,19.0,2025-03-11 11:14:56
15,19.0,2025-03-11 11:14:57
16,20.0,2025-03-11 11:14:58
17,20.0,2025-03-11 11:14:59
18,22.0,2025-03-11 11:15:00
19,22.0,2025-03-11 11:15:01
20,22.0,2025-03-11 11:15:02
21,22.0,2025-03-11 11:15:03
22,22.0,2025-03-11 11:15:04
23,21.0,2025-03-11 11:15:05
24,21.0,2025-03-11 11:15:06
25,22.0,2025-03-11 11:15:07
26,22.0,2025-03-11 11:15:08
27,23.0,2025-03-11 11:15:09
28,23.0,2025-03-11 11:15:10
29,23.0,2025-03-11 11:15:11
30,22.0,2025-03-11 11:15:12
31,22.0,2025-03-11 11:15:13
32,23.0,2025-03-11 11:15:14
33,23.0,2025-03-11 11:15:15
34,22.0,2025-03-11 11:15:16
35,22.0,2025-03-11 11:15:17
36,22.0,2025-03-11 11:15:18
37,23.0,2025-03-11 11:15:19
38,23.0,2025-03-11 11:15:20
39,23.0,2025-03-11 11:15:21
40,23.0,2025-03-11 11:15:22
41,23.0,2025-03-11 11:15:23
42,22.0,2025-03-11 11:15:24
43,22.0,2025-03-11 11:15:25
44,22.0,2025-03-11 11:15:26
45,22.0,2025-03-11 11:15:27
46,22.0,2025-03-11 11:15:28
47,22.0,2025-03-11 11:15:29
48,22.0,2025-03-11 11:15:30
49,23.0,2025-03-11 11:15:31
50,23.0,2025-03-11 11:15:32
51,23.0,2025-03-11 11:15:33
52,23.0,2025-03-11 11:15:34
53,22.0,2025-03-11 11:15:35
54,22.0,2025-03-11 11:15:36
55,22.0,2025-03-11 11:15:37
56,22.0,2025-03-11 11:15:38
57,22.0,2025-03-11 11:15:39
58,22.0,2025-03-11 11:15:40
59,22.0,2025-03-11 11:15:41
60,21.0,2025-03-11 11:15:42
61,21.0,2025-03-11 11:15:43
62,21.0,2025-03-11 11:15:44
63,21.0,2025-03-11 11:15:45
64,21.0,2025-03-11 11:15:46
65,22.0,2025-03-11 11:15:47
66,22.0,2025-03-11 11:15:48
67,22.0,2025-03-11 11:15:49
68,22.0,2025-03-11 11:15:50
69,22.0,2025-03-11 11:15:51
70,22.0,2025-03-11 11:15:52
71,22.0,2025-03-11 11:15:53
72,22.0,2025-03-11 11:15:54
73,22.0,2025-03-11 11:15:55
74,22.0,2025-03-11 11:15:56
75,22.0,2025-03-11 11:15:57
76,22.0,2025-03-11 11:15:58
77,22.0,2025-03-11 11:15:59
78,22.0,2025-03-11 11:16:00
79,22.0,2025-03-11 11:16:01
80,22.0,2025-03-11 11:16:02
81,22.0,2025-03-11 11:16:03
82,21.0,2025-03-11 11:16:04
83,21.0,2025-03-11 11:16:05
84,22.0,2025-03-11 11:16:06
85,22.0,2025-03-11 11:16:07
86,22.0,2025-03-11 11:16:08
87,22.0,2025-03-11 11:16:09
88,22.0,2025-03-11 11:16:10
89,22.0,2025-03-11 11:16:11
90,22.0,2025-03-11 11:16:12
91,22.0,2025-03-11 11:16:13
92,22.0,2025-03-11 11:16:14
93,23.0,2025-03-11 11:16:15
94,23.0,2025-03-11 11:16:16
95,23.0,2025-03-11 11:16:17
96,22.0,2025-03-11 11:16:18
97,23.0,2025-03-11 11:16:19
98,23.0,2025-03-11 11:16:20
99,23.0,2025-03-11 11:16:21
100,23.0,2025-03-11 11:16:22
101,22.0,2025-03-11 11:16:23
102,22.0,2025-03-11 11:16:24
103,22.0,2025-03-11 11:16:25
104,23.0,2025-03-11 11:16:26
105,23.0,2025-03-11 11:16:27
106,23.0,2025-03-11 11:16:28
107,23.0,2025-03-11 11:16:29
108,23.0,2025-03-11 11:16:30
109,22.0,2025-03-11 11:16:31
110,22.0,2025-03-11 11:16:32
111,22.0,2025-03-11 11:16:33
112,22.0,2025-03-11 11:16:34
113,22.0,2025-03-11 11:16:35
114,22.0,2025-03-11 11:16:36
115,22.0,2025-03-11 11:16:37
116,22.0,2025-03-11 11:16:38
117,22.0,2025-03-11 11:16:39
118,22.0,2025-03-11 11:16:40
119,22.0,2025-03-11 11:16:41
120,22.0,2025-03-11 11:16:42
121,22.0,2025-03-11 11:16:43
122,22.0,2025-03-11 11:16:44
123,22.0,2025-03-11 11:16:45
124,22.0,2025-03-11 11:16:46
125,22.0,2025-03-11 11:16:47
126,22.0,2025-03-11 11:16:48
127,23.0,2025-03-11 11:16:49
128,23.0,2025-03-11 11:16:50
129,23.0,2025-03-11 11:16:51
130,23.0,2025-03-11 11:16:52
131,23.0,2025-03-11 11:16:53
132,23.0,2025-03-11 11:16:54
133,22.0,2025-03-11 11:16:55
134,22.0,2025-03-11 11:16:56
135,22.0,2025-03-11 11:16:57
136,22.0,2025-03-11 11:16:58
137,22.0,2025-03-11 11:16:59
138,22.0,2025-03-11 11:17:00
139,22.0,2025-03-11 11:17:01
140,22.0,2025-03-11 11:17:02
141,22.0,2025-03-11 11:17:03
142,23.0,2025-03-11 11:17:04
143,23.0,2025-03-11 11:17:05
144,23.0,2025-03-11 11:17:06
145,23.0,2025-03-11 11:17:07
146,23.0,2025-03-11 11:17:08
147,23.0,2025-03-11 11:17:09
148,23.0,2025-03-11 11:17:10
149,23.0,2025-03-11 11:17:11
150,23.0,2025-03-11 11:17:12
151,23.0,2025-03-11 11:17:13
152,23.0,2025-03-11 11:17:14
153,23.0,2025-03-11 11:17:15
154,22.0,2025-03-11 11:17:16
155,22.0,2025-03-11 11:17:17
156,22.0,2025-03-11 11:17:18
157,22.0,2025-03-11 11:17:19
158,22.0,2025-03-11 11:17:20
159,22.0,2025-03-11 11:17:21
160,22.0,2025-03-11 11:17:22
161,22.0,2025-03-11 11:17:23
162,22.0,2025-03-11 11:17:24
163,22.0,2025-03-11 11:17:25
164,22.0,2025-03-11 11:17:26
165,23.0,2025-03-11 11:17:27
166,23.0,2025-03-11 11:17:28
167,23.0,2025-03-11 11:17:29
168,23.0,2025-03-11 11:17:30
169,24.0,2025-03-11 11:17:31
170,24.0,2025-03-11 11:17:32
171,23.0,2025-03-11 11:17:33
172,22.0,2025-03-11 11:17:34
173,22.0,2025-03-11 11:17:35
174,22.0,2025-03-11 11:17:36
175,22.0,2025-03-11 11:17:37
176,22.0,2025-03-11 11:17:38
177,22.0,2025-03-11 11:17:39
178,22.0,2025-03-11 11:17:40
179,22.0,2025-03-11 11:17:41
180,22.0,2025-03-11 11:17:42
181,22.0,2025-03-11 11:17:43
182,22.0,2025-03-11 11:17:44
183,22.0,2025-03-11 11:17:45
184,22.0,2025-03-11 11:17:46
185,21.0,2025-03-11 11:17:47
186,21.0,2025-03-11 11:17:48
187,22.0,2025-03-11 11:17:49
188,21.0,2025-03-11 11:17:50
189,21.0,2025-03-11 11:17:51
190,21.0,2025-03-11 11:17:52
191,21.0,2025-03-11 11:17:53
192,21.0,2025-03-11 11:17:54
193,21.0,2025-03-11 11:17:55
194,21.0,2025-03-11 11:17:56
195,21.0,2025-03-11 11:17:57
196,21.0,2025-03-11 11:17:58
197,20.0,2025-03-11 11:17:59
198,20.0,2025-03-11 11:18:00
199,20.0,2025-03-11 11:18:01
200,20.0,2025-03-11 11:18:02
201,20.0,2025-03-11 11:18:03
202,20.0,2025-03-11 11:18:04
203,20.0,2025-03-11 11:18:05
204,21.0,2025-03-11 11:18:06
205,21.0,2025-03-11 11:18:07
