SNo,BRate,Timestamp
1,,11-03-2025 11:26:09:217420
2,,11-03-2025 11:26:09:526643
3,,11-03-2025 11:26:09:846870
4,,11-03-2025 11:26:10:128066
5,,11-03-2025 11:26:10:516346
6,,11-03-2025 11:26:10:838570
7,,11-03-2025 11:26:11:154796
8,,11-03-2025 11:26:11:513053
9,,11-03-2025 11:26:11:842285
10,,11-03-2025 11:26:12:140496
11,,11-03-2025 11:26:12:467728
12,,11-03-2025 11:26:12:895032
13,,11-03-2025 11:26:13:251285
14,,11-03-2025 11:26:13:612542
15,,11-03-2025 11:26:13:922761
16,,11-03-2025 11:26:14:226977
17,,11-03-2025 11:26:14:555212
18,,11-03-2025 11:26:14:897457
19,,11-03-2025 11:26:15:220683
20,,11-03-2025 11:26:15:588945
21,,11-03-2025 11:26:15:962210
22,,11-03-2025 11:26:16:320464
23,,11-03-2025 11:26:16:652701
24,,11-03-2025 11:26:16:978935
25,,11-03-2025 11:26:17:405237
26,,11-03-2025 11:26:17:762489
27,,11-03-2025 11:26:18:144762
28,,11-03-2025 11:26:18:438974
29,,11-03-2025 11:26:18:875279
30,19,11-03-2025 11:26:19:288573
31,19,11-03-2025 11:26:19:695861
32,20,11-03-2025 11:26:20:049113
33,20,11-03-2025 11:26:20:444393
34,20,11-03-2025 11:26:20:827669
35,20,11-03-2025 11:26:21:204937
36,20,11-03-2025 11:26:21:616225
37,20,11-03-2025 11:26:22:004504
38,20,11-03-2025 11:26:22:383772
39,20,11-03-2025 11:26:22:769045
40,20,11-03-2025 11:26:23:151319
41,20,11-03-2025 11:26:23:534589
42,20,11-03-2025 11:26:23:922863
43,20,11-03-2025 11:26:24:311140
44,20,11-03-2025 11:26:24:689409
45,20,11-03-2025 11:26:25:086691
46,20,11-03-2025 11:26:25:464959
47,20,11-03-2025 11:26:25:891263
48,20,11-03-2025 11:26:26:278537
49,20,11-03-2025 11:26:26:647799
50,20,11-03-2025 11:26:27:000050
51,20,11-03-2025 11:26:27:347296
52,20,11-03-2025 11:26:27:717559
53,20,11-03-2025 11:26:28:098830
54,20,11-03-2025 11:26:28:456085
55,20,11-03-2025 11:26:28:870378
56,20,11-03-2025 11:26:29:292678
57,21,11-03-2025 11:26:29:677951
58,21,11-03-2025 11:26:30:071231
59,21,11-03-2025 11:26:30:463512
60,21,11-03-2025 11:26:30:834774
61,21,11-03-2025 11:26:31:201033
62,21,11-03-2025 11:26:31:612325
63,21,11-03-2025 11:26:32:015612
64,21,11-03-2025 11:26:32:353852
65,22,11-03-2025 11:26:32:715109
66,22,11-03-2025 11:26:33:102383
67,22,11-03-2025 11:26:33:507672
68,22,11-03-2025 11:26:33:919965
69,22,11-03-2025 11:26:34:321250
70,22,11-03-2025 11:26:34:730541
71,22,11-03-2025 11:26:35:100803
72,22,11-03-2025 11:26:35:504090
73,22,11-03-2025 11:26:35:923387
74,22,11-03-2025 11:26:36:291650
75,22,11-03-2025 11:26:36:659911
76,22,11-03-2025 11:26:37:036178
77,22,11-03-2025 11:26:37:430457
78,22,11-03-2025 11:26:37:803723
79,21,11-03-2025 11:26:38:211012
80,22,11-03-2025 11:26:38:598288
81,22,11-03-2025 11:26:38:958543
82,22,11-03-2025 11:26:39:327804
83,22,11-03-2025 11:26:39:730092
84,22,11-03-2025 11:26:40:137380
85,22,11-03-2025 11:26:40:492633
86,22,11-03-2025 11:26:40:881910
87,21,11-03-2025 11:26:41:250171
88,21,11-03-2025 11:26:41:632442
89,21,11-03-2025 11:26:42:014714
90,21,11-03-2025 11:26:42:362962
91,21,11-03-2025 11:26:42:750237
92,21,11-03-2025 11:26:43:182544
93,21,11-03-2025 11:26:43:577825
94,21,11-03-2025 11:26:43:994119
95,21,11-03-2025 11:26:44:339368
96,21,11-03-2025 11:26:44:727640
97,21,11-03-2025 11:26:45:106910
98,21,11-03-2025 11:26:45:489183
99,21,11-03-2025 11:26:45:890468
100,21,11-03-2025 11:26:46:262732
101,21,11-03-2025 11:26:46:662019
102,21,11-03-2025 11:26:47:045287
103,21,11-03-2025 11:26:47:406543
104,21,11-03-2025 11:26:47:814833
105,21,11-03-2025 11:26:48:201108
106,22,11-03-2025 11:26:48:566368
107,22,11-03-2025 11:26:48:963648
108,22,11-03-2025 11:26:49:311899
109,22,11-03-2025 11:26:49:694169
110,22,11-03-2025 11:26:50:056425
111,22,11-03-2025 11:26:50:448705
112,22,11-03-2025 11:26:50:830975
113,22,11-03-2025 11:26:51:197236
114,22,11-03-2025 11:26:51:563495
115,22,11-03-2025 11:26:51:900739
116,22,11-03-2025 11:26:52:270998
117,22,11-03-2025 11:26:52:689296
118,22,11-03-2025 11:26:53:057560
119,22,11-03-2025 11:26:53:434826
120,22,11-03-2025 11:26:53:829106
121,22,11-03-2025 11:26:54:203370
122,22,11-03-2025 11:26:54:608659
123,22,11-03-2025 11:26:54:976921
124,22,11-03-2025 11:26:55:374203
125,22,11-03-2025 11:26:55:760477
126,22,11-03-2025 11:26:56:181777
127,22,11-03-2025 11:26:56:541032
