SNo,BRate,Timestamp
2,,2025-03-11 11:14:43
4,,2025-03-11 11:14:44
7,,2025-03-11 11:14:45
9,,2025-03-11 11:14:46
12,,2025-03-11 11:14:47
15,,2025-03-11 11:14:48
18,,2025-03-11 11:14:49
21,17.0,2025-03-11 11:14:50
23,17.0,2025-03-11 11:14:51
26,17.0,2025-03-11 11:14:52
29,17.0,2025-03-11 11:14:53
31,17.0,2025-03-11 11:14:54
34,17.0,2025-03-11 11:14:55
37,19.0,2025-03-11 11:14:56
39,19.0,2025-03-11 11:14:57
42,20.0,2025-03-11 11:14:58
45,20.0,2025-03-11 11:14:59
48,,2025-03-11 11:15:00
50,,2025-03-11 11:15:01
53,,2025-03-11 11:15:02
56,,2025-03-11 11:15:03
58,,2025-03-11 11:15:04
61,21.0,2025-03-11 11:15:05
64,21.0,2025-03-11 11:15:06
67,22.0,2025-03-11 11:15:07
69,22.0,2025-03-11 11:15:08
72,23.0,2025-03-11 11:15:09
75,23.0,2025-03-11 11:15:10
77,23.0,2025-03-11 11:15:11
80,22.0,2025-03-11 11:15:12
83,22.0,2025-03-11 11:15:13
86,23.0,2025-03-11 11:15:14
88,23.0,2025-03-11 11:15:15
91,22.0,2025-03-11 11:15:16
94,22.0,2025-03-11 11:15:17
96,22.0,2025-03-11 11:15:18
99,23.0,2025-03-11 11:15:19
101,23.0,2025-03-11 11:15:20
104,23.0,2025-03-11 11:15:21
107,23.0,2025-03-11 11:15:22
109,23.0,2025-03-11 11:15:23
112,22.0,2025-03-11 11:15:24
114,22.0,2025-03-11 11:15:25
117,,2025-03-11 11:15:26
119,,2025-03-11 11:15:27
122,,2025-03-11 11:15:28
125,,2025-03-11 11:15:29
127,,2025-03-11 11:15:30
130,23.0,2025-03-11 11:15:31
132,23.0,2025-03-11 11:15:32
135,23.0,2025-03-11 11:15:33
137,23.0,2025-03-11 11:15:34
140,22.0,2025-03-11 11:15:35
143,22.0,2025-03-11 11:15:36
145,22.0,2025-03-11 11:15:37
148,22.0,2025-03-11 11:15:38
150,22.0,2025-03-11 11:15:39
153,22.0,2025-03-11 11:15:40
155,22.0,2025-03-11 11:15:41
158,21.0,2025-03-11 11:15:42
160,21.0,2025-03-11 11:15:43
163,21.0,2025-03-11 11:15:44
166,21.0,2025-03-11 11:15:45
168,21.0,2025-03-11 11:15:46
171,22.0,2025-03-11 11:15:47
173,22.0,2025-03-11 11:15:48
176,22.0,2025-03-11 11:15:49
179,22.0,2025-03-11 11:15:50
181,22.0,2025-03-11 11:15:51
184,22.0,2025-03-11 11:15:52
187,22.0,2025-03-11 11:15:53
190,22.0,2025-03-11 11:15:54
192,22.0,2025-03-11 11:15:55
195,22.0,2025-03-11 11:15:56
198,22.0,2025-03-11 11:15:57
200,22.0,2025-03-11 11:15:58
203,22.0,2025-03-11 11:15:59
206,22.0,2025-03-11 11:16:00
209,22.0,2025-03-11 11:16:01
211,22.0,2025-03-11 11:16:02
214,22.0,2025-03-11 11:16:03
217,21.0,2025-03-11 11:16:04
219,21.0,2025-03-11 11:16:05
222,22.0,2025-03-11 11:16:06
225,22.0,2025-03-11 11:16:07
227,22.0,2025-03-11 11:16:08
230,22.0,2025-03-11 11:16:09
233,22.0,2025-03-11 11:16:10
235,22.0,2025-03-11 11:16:11
238,22.0,2025-03-11 11:16:12
241,22.0,2025-03-11 11:16:13
243,22.0,2025-03-11 11:16:14
246,23.0,2025-03-11 11:16:15
249,23.0,2025-03-11 11:16:16
251,23.0,2025-03-11 11:16:17
254,,2025-03-11 11:16:18
257,23.0,2025-03-11 11:16:19
259,23.0,2025-03-11 11:16:20
262,23.0,2025-03-11 11:16:21
264,23.0,2025-03-11 11:16:22
267,22.0,2025-03-11 11:16:23
270,22.0,2025-03-11 11:16:24
272,22.0,2025-03-11 11:16:25
275,23.0,2025-03-11 11:16:26
278,23.0,2025-03-11 11:16:27
281,23.0,2025-03-11 11:16:28
283,23.0,2025-03-11 11:16:29
286,23.0,2025-03-11 11:16:30
289,22.0,2025-03-11 11:16:31
291,22.0,2025-03-11 11:16:32
294,22.0,2025-03-11 11:16:33
297,22.0,2025-03-11 11:16:34
299,22.0,2025-03-11 11:16:35
302,22.0,2025-03-11 11:16:36
305,22.0,2025-03-11 11:16:37
307,22.0,2025-03-11 11:16:38
310,22.0,2025-03-11 11:16:39
312,22.0,2025-03-11 11:16:40
315,22.0,2025-03-11 11:16:41
318,22.0,2025-03-11 11:16:42
320,22.0,2025-03-11 11:16:43
323,22.0,2025-03-11 11:16:44
326,22.0,2025-03-11 11:16:45
328,22.0,2025-03-11 11:16:46
331,22.0,2025-03-11 11:16:47
333,22.0,2025-03-11 11:16:48
336,23.0,2025-03-11 11:16:49
338,23.0,2025-03-11 11:16:50
341,23.0,2025-03-11 11:16:51
344,23.0,2025-03-11 11:16:52
346,23.0,2025-03-11 11:16:53
349,23.0,2025-03-11 11:16:54
351,22.0,2025-03-11 11:16:55
354,22.0,2025-03-11 11:16:56
356,22.0,2025-03-11 11:16:57
359,22.0,2025-03-11 11:16:58
362,22.0,2025-03-11 11:16:59
364,22.0,2025-03-11 11:17:00
367,22.0,2025-03-11 11:17:01
369,22.0,2025-03-11 11:17:02
372,22.0,2025-03-11 11:17:03
375,23.0,2025-03-11 11:17:04
377,23.0,2025-03-11 11:17:05
380,23.0,2025-03-11 11:17:06
382,23.0,2025-03-11 11:17:07
385,23.0,2025-03-11 11:17:08
387,23.0,2025-03-11 11:17:09
390,23.0,2025-03-11 11:17:10
393,23.0,2025-03-11 11:17:11
395,23.0,2025-03-11 11:17:12
398,23.0,2025-03-11 11:17:13
400,23.0,2025-03-11 11:17:14
403,23.0,2025-03-11 11:17:15
406,22.0,2025-03-11 11:17:16
408,22.0,2025-03-11 11:17:17
411,22.0,2025-03-11 11:17:18
414,22.0,2025-03-11 11:17:19
416,22.0,2025-03-11 11:17:20
419,22.0,2025-03-11 11:17:21
421,22.0,2025-03-11 11:17:22
424,22.0,2025-03-11 11:17:23
426,22.0,2025-03-11 11:17:24
429,22.0,2025-03-11 11:17:25
432,22.0,2025-03-11 11:17:26
434,23.0,2025-03-11 11:17:27
437,23.0,2025-03-11 11:17:28
439,23.0,2025-03-11 11:17:29
442,23.0,2025-03-11 11:17:30
445,24.0,2025-03-11 11:17:31
447,24.0,2025-03-11 11:17:32
450,23.0,2025-03-11 11:17:33
453,22.0,2025-03-11 11:17:34
455,22.0,2025-03-11 11:17:35
458,22.0,2025-03-11 11:17:36
460,22.0,2025-03-11 11:17:37
463,22.0,2025-03-11 11:17:38
466,22.0,2025-03-11 11:17:39
468,22.0,2025-03-11 11:17:40
471,22.0,2025-03-11 11:17:41
474,22.0,2025-03-11 11:17:42
476,22.0,2025-03-11 11:17:43
479,22.0,2025-03-11 11:17:44
482,22.0,2025-03-11 11:17:45
484,22.0,2025-03-11 11:17:46
487,21.0,2025-03-11 11:17:47
489,21.0,2025-03-11 11:17:48
492,22.0,2025-03-11 11:17:49
495,21.0,2025-03-11 11:17:50
497,21.0,2025-03-11 11:17:51
500,21.0,2025-03-11 11:17:52
503,21.0,2025-03-11 11:17:53
505,21.0,2025-03-11 11:17:54
508,21.0,2025-03-11 11:17:55
510,21.0,2025-03-11 11:17:56
512,21.0,2025-03-11 11:17:57
515,21.0,2025-03-11 11:17:58
517,20.0,2025-03-11 11:17:59
519,20.0,2025-03-11 11:18:00
521,20.0,2025-03-11 11:18:01
524,20.0,2025-03-11 11:18:02
527,20.0,2025-03-11 11:18:03
529,20.0,2025-03-11 11:18:04
532,20.0,2025-03-11 11:18:05
535,21.0,2025-03-11 11:18:06
537,21.0,2025-03-11 11:18:07
540,21.0,2025-03-11 11:18:08
543,21.0,2025-03-11 11:18:09
546,21.0,2025-03-11 11:18:10
548,21.0,2025-03-11 11:18:11
551,21.0,2025-03-11 11:18:12
554,22.0,2025-03-11 11:18:13
556,22.0,2025-03-11 11:18:14
559,22.0,2025-03-11 11:18:15
562,22.0,2025-03-11 11:18:16
564,22.0,2025-03-11 11:18:17
567,22.0,2025-03-11 11:18:18
570,22.0,2025-03-11 11:18:19
572,22.0,2025-03-11 11:18:20
575,23.0,2025-03-11 11:18:21
578,23.0,2025-03-11 11:18:22
580,22.0,2025-03-11 11:18:23
583,22.0,2025-03-11 11:18:24
586,22.0,2025-03-11 11:18:25
588,22.0,2025-03-11 11:18:26
590,22.0,2025-03-11 11:18:27
593,22.0,2025-03-11 11:18:28
595,22.0,2025-03-11 11:18:29
597,22.0,2025-03-11 11:18:30
600,21.0,2025-03-11 11:18:31
603,21.0,2025-03-11 11:18:32
605,22.0,2025-03-11 11:18:33
608,22.0,2025-03-11 11:18:34
610,22.0,2025-03-11 11:18:35
613,22.0,2025-03-11 11:18:36
616,22.0,2025-03-11 11:18:37
618,22.0,2025-03-11 11:18:38
621,22.0,2025-03-11 11:18:39
623,22.0,2025-03-11 11:18:40
626,22.0,2025-03-11 11:18:41
629,22.0,2025-03-11 11:18:42
631,22.0,2025-03-11 11:18:43
634,22.0,2025-03-11 11:18:44
637,22.0,2025-03-11 11:18:45
639,22.0,2025-03-11 11:18:46
642,22.0,2025-03-11 11:18:47
644,22.0,2025-03-11 11:18:48
647,22.0,2025-03-11 11:18:49
649,22.0,2025-03-11 11:18:50
652,23.0,2025-03-11 11:18:51
654,23.0,2025-03-11 11:18:52
657,23.0,2025-03-11 11:18:53
659,23.0,2025-03-11 11:18:54
662,23.0,2025-03-11 11:18:55
665,23.0,2025-03-11 11:18:56
667,23.0,2025-03-11 11:18:57
670,24.0,2025-03-11 11:18:58
672,24.0,2025-03-11 11:18:59
675,24.0,2025-03-11 11:19:00
678,24.0,2025-03-11 11:19:01
680,24.0,2025-03-11 11:19:02
683,23.0,2025-03-11 11:19:03
685,23.0,2025-03-11 11:19:04
688,24.0,2025-03-11 11:19:05
690,24.0,2025-03-11 11:19:06
693,24.0,2025-03-11 11:19:07
695,24.0,2025-03-11 11:19:08
698,23.0,2025-03-11 11:19:09
701,23.0,2025-03-11 11:19:10
703,23.0,2025-03-11 11:19:11
706,22.0,2025-03-11 11:19:12
708,22.0,2025-03-11 11:19:13
711,22.0,2025-03-11 11:19:14
714,22.0,2025-03-11 11:19:15
716,22.0,2025-03-11 11:19:16
719,23.0,2025-03-11 11:19:17
722,22.0,2025-03-11 11:19:18
724,22.0,2025-03-11 11:19:19
727,22.0,2025-03-11 11:19:20
730,22.0,2025-03-11 11:19:21
732,22.0,2025-03-11 11:19:22
734,22.0,2025-03-11 11:19:23
737,22.0,2025-03-11 11:19:24
739,22.0,2025-03-11 11:19:25
742,22.0,2025-03-11 11:19:26
745,22.0,2025-03-11 11:19:27
747,22.0,2025-03-11 11:19:28
750,22.0,2025-03-11 11:19:29
753,22.0,2025-03-11 11:19:30
756,22.0,2025-03-11 11:19:31
758,22.0,2025-03-11 11:19:32
761,22.0,2025-03-11 11:19:33
764,22.0,2025-03-11 11:19:34
766,22.0,2025-03-11 11:19:35
769,22.0,2025-03-11 11:19:36
772,22.0,2025-03-11 11:19:37
774,22.0,2025-03-11 11:19:38
777,22.0,2025-03-11 11:19:39
780,22.0,2025-03-11 11:19:40
783,23.0,2025-03-11 11:19:41
785,24.0,2025-03-11 11:19:42
788,24.0,2025-03-11 11:19:43
791,24.0,2025-03-11 11:19:44
793,24.0,2025-03-11 11:19:45
796,23.0,2025-03-11 11:19:46
799,23.0,2025-03-11 11:19:47
801,23.0,2025-03-11 11:19:48
804,23.0,2025-03-11 11:19:49
807,23.0,2025-03-11 11:19:50
810,23.0,2025-03-11 11:19:51
812,23.0,2025-03-11 11:19:52
815,23.0,2025-03-11 11:19:53
818,23.0,2025-03-11 11:19:54
821,23.0,2025-03-11 11:19:55
823,23.0,2025-03-11 11:19:56
826,23.0,2025-03-11 11:19:57
829,23.0,2025-03-11 11:19:58
831,23.0,2025-03-11 11:19:59
834,23.0,2025-03-11 11:20:00
837,23.0,2025-03-11 11:20:01
839,23.0,2025-03-11 11:20:02
842,23.0,2025-03-11 11:20:03
845,22.0,2025-03-11 11:20:04
847,22.0,2025-03-11 11:20:05
850,23.0,2025-03-11 11:20:06
852,23.0,2025-03-11 11:20:07
855,23.0,2025-03-11 11:20:08
858,23.0,2025-03-11 11:20:09
860,23.0,2025-03-11 11:20:10
863,22.0,2025-03-11 11:20:11
866,22.0,2025-03-11 11:20:12
868,22.0,2025-03-11 11:20:13
871,23.0,2025-03-11 11:20:14
873,23.0,2025-03-11 11:20:15
876,23.0,2025-03-11 11:20:16
879,22.0,2025-03-11 11:20:17
881,22.0,2025-03-11 11:20:18
884,22.0,2025-03-11 11:20:19
886,22.0,2025-03-11 11:20:20
889,23.0,2025-03-11 11:20:21
892,23.0,2025-03-11 11:20:22
894,22.0,2025-03-11 11:20:23
897,22.0,2025-03-11 11:20:24
899,22.0,2025-03-11 11:20:25
902,22.0,2025-03-11 11:20:26
904,22.0,2025-03-11 11:20:27
907,22.0,2025-03-11 11:20:28
910,22.0,2025-03-11 11:20:29
913,22.0,2025-03-11 11:20:30
915,22.0,2025-03-11 11:20:31
918,22.0,2025-03-11 11:20:32
920,22.0,2025-03-11 11:20:33
923,22.0,2025-03-11 11:20:34
926,22.0,2025-03-11 11:20:35
928,22.0,2025-03-11 11:20:36
931,22.0,2025-03-11 11:20:37
934,22.0,2025-03-11 11:20:38
936,22.0,2025-03-11 11:20:39
939,22.0,2025-03-11 11:20:40
942,23.0,2025-03-11 11:20:41
944,23.0,2025-03-11 11:20:42
947,23.0,2025-03-11 11:20:43
950,23.0,2025-03-11 11:20:44
952,23.0,2025-03-11 11:20:45
955,23.0,2025-03-11 11:20:46
958,23.0,2025-03-11 11:20:47
960,23.0,2025-03-11 11:20:48
963,23.0,2025-03-11 11:20:49
966,24.0,2025-03-11 11:20:50
968,24.0,2025-03-11 11:20:51
971,24.0,2025-03-11 11:20:52
974,24.0,2025-03-11 11:20:53
976,24.0,2025-03-11 11:20:54
979,25.0,2025-03-11 11:20:55
981,25.0,2025-03-11 11:20:56
984,25.0,2025-03-11 11:20:57
987,26.0,2025-03-11 11:20:58
989,26.0,2025-03-11 11:20:59
992,26.0,2025-03-11 11:21:00
995,26.0,2025-03-11 11:21:01
997,26.0,2025-03-11 11:21:02
999,26.0,2025-03-11 11:21:03
1002,25.0,2025-03-11 11:21:04
1004,25.0,2025-03-11 11:21:05
1007,25.0,2025-03-11 11:21:06
1010,25.0,2025-03-11 11:21:07
1012,25.0,2025-03-11 11:21:08
1015,25.0,2025-03-11 11:21:09
1017,25.0,2025-03-11 11:21:10
1020,25.0,2025-03-11 11:21:11
1023,25.0,2025-03-11 11:21:12
1025,25.0,2025-03-11 11:21:13
1028,25.0,2025-03-11 11:21:14
1030,25.0,2025-03-11 11:21:15
1033,26.0,2025-03-11 11:21:16
1035,26.0,2025-03-11 11:21:17
1038,25.0,2025-03-11 11:21:18
1040,25.0,2025-03-11 11:21:19
1043,25.0,2025-03-11 11:21:20
1046,25.0,2025-03-11 11:21:21
1048,25.0,2025-03-11 11:21:22
1051,25.0,2025-03-11 11:21:23
1054,25.0,2025-03-11 11:21:24
1056,25.0,2025-03-11 11:21:25
1059,25.0,2025-03-11 11:21:26
1061,24.0,2025-03-11 11:21:27
1064,24.0,2025-03-11 11:21:28
1066,24.0,2025-03-11 11:21:29
1069,25.0,2025-03-11 11:21:30
1072,25.0,2025-03-11 11:21:31
1074,25.0,2025-03-11 11:21:32
1077,24.0,2025-03-11 11:21:33
1079,24.0,2025-03-11 11:21:34
1082,25.0,2025-03-11 11:21:35
1085,25.0,2025-03-11 11:21:36
1088,25.0,2025-03-11 11:21:37
1090,25.0,2025-03-11 11:21:38
1093,25.0,2025-03-11 11:21:39
1096,25.0,2025-03-11 11:21:40
1098,25.0,2025-03-11 11:21:41
1101,25.0,2025-03-11 11:21:42
1103,25.0,2025-03-11 11:21:43
1106,25.0,2025-03-11 11:21:44
1109,25.0,2025-03-11 11:21:45
1111,25.0,2025-03-11 11:21:46
1114,25.0,2025-03-11 11:21:47
1117,25.0,2025-03-11 11:21:48
1119,25.0,2025-03-11 11:21:49
1122,25.0,2025-03-11 11:21:50
1124,25.0,2025-03-11 11:21:51
1127,24.0,2025-03-11 11:21:52
1129,24.0,2025-03-11 11:21:53
1132,24.0,2025-03-11 11:21:54
1135,24.0,2025-03-11 11:21:55
1137,24.0,2025-03-11 11:21:56
1140,24.0,2025-03-11 11:21:57
1143,24.0,2025-03-11 11:21:58
1146,23.0,2025-03-11 11:21:59
1148,23.0,2025-03-11 11:22:00
1151,23.0,2025-03-11 11:22:01
1154,23.0,2025-03-11 11:22:02
1156,23.0,2025-03-11 11:22:03
1159,23.0,2025-03-11 11:22:04
1162,22.0,2025-03-11 11:22:05
1165,22.0,2025-03-11 11:22:06
1167,22.0,2025-03-11 11:22:07
1170,22.0,2025-03-11 11:22:08
1172,22.0,2025-03-11 11:22:09
1175,22.0,2025-03-11 11:22:10
1177,22.0,2025-03-11 11:22:11
1180,21.0,2025-03-11 11:22:12
1182,21.0,2025-03-11 11:22:13
1185,20.0,2025-03-11 11:22:14
1188,20.0,2025-03-11 11:22:15
1190,20.0,2025-03-11 11:22:16
1193,20.0,2025-03-11 11:22:17
1195,20.0,2025-03-11 11:22:18
1198,20.0,2025-03-11 11:22:19
1200,21.0,2025-03-11 11:22:20
1203,21.0,2025-03-11 11:22:21
1206,21.0,2025-03-11 11:22:22
1208,21.0,2025-03-11 11:22:23
1211,21.0,2025-03-11 11:22:24
1214,21.0,2025-03-11 11:22:25
1216,21.0,2025-03-11 11:22:26
1219,21.0,2025-03-11 11:22:27
1221,21.0,2025-03-11 11:22:28
1224,21.0,2025-03-11 11:22:29
1226,21.0,2025-03-11 11:22:30
1229,21.0,2025-03-11 11:22:31
1231,22.0,2025-03-11 11:22:32
1234,22.0,2025-03-11 11:22:33
1236,22.0,2025-03-11 11:22:34
1239,23.0,2025-03-11 11:22:35
1242,23.0,2025-03-11 11:22:36
1244,23.0,2025-03-11 11:22:37
1247,23.0,2025-03-11 11:22:38
1250,23.0,2025-03-11 11:22:39
1252,23.0,2025-03-11 11:22:40
1254,23.0,2025-03-11 11:22:41
1257,23.0,2025-03-11 11:22:42
1260,24.0,2025-03-11 11:22:43
1262,24.0,2025-03-11 11:22:44
1265,24.0,2025-03-11 11:22:45
1267,24.0,2025-03-11 11:22:46
1270,23.0,2025-03-11 11:22:47
1272,23.0,2025-03-11 11:22:48
1275,23.0,2025-03-11 11:22:49
1278,23.0,2025-03-11 11:22:50
1280,23.0,2025-03-11 11:22:51
1283,23.0,2025-03-11 11:22:52
1285,23.0,2025-03-11 11:22:53
1288,23.0,2025-03-11 11:22:54
1290,22.0,2025-03-11 11:22:55
1292,22.0,2025-03-11 11:22:56
1295,22.0,2025-03-11 11:22:57
1297,22.0,2025-03-11 11:22:58
1300,22.0,2025-03-11 11:22:59
1302,22.0,2025-03-11 11:23:00
1304,22.0,2025-03-11 11:23:01
1307,21.0,2025-03-11 11:23:02
1310,21.0,2025-03-11 11:23:03
1312,21.0,2025-03-11 11:23:04
1315,21.0,2025-03-11 11:23:05
1317,21.0,2025-03-11 11:23:06
1320,21.0,2025-03-11 11:23:07
1322,21.0,2025-03-11 11:23:08
1325,20.0,2025-03-11 11:23:09
1328,20.0,2025-03-11 11:23:10
1330,20.0,2025-03-11 11:23:11
1333,20.0,2025-03-11 11:23:12
