SNo,BRate,Timestamp
1,,2025-03-11 11:14:43
3,,2025-03-11 11:14:44
6,,2025-03-11 11:14:45
8,,2025-03-11 11:14:46
11,,2025-03-11 11:14:47
14,,2025-03-11 11:14:48
17,,2025-03-11 11:14:49
20,17.0,2025-03-11 11:14:50
22,17.0,2025-03-11 11:14:51
25,17.0,2025-03-11 11:14:52
28,17.0,2025-03-11 11:14:53
30,17.0,2025-03-11 11:14:54
33,17.0,2025-03-11 11:14:55
36,17.0,2025-03-11 11:14:56
38,19.0,2025-03-11 11:14:57
41,20.0,2025-03-11 11:14:58
44,20.0,2025-03-11 11:14:59
47,20.0,2025-03-11 11:15:00
49,21.0,2025-03-11 11:15:01
52,21.0,2025-03-11 11:15:02
55,21.0,2025-03-11 11:15:03
57,21.0,2025-03-11 11:15:04
60,21.0,2025-03-11 11:15:05
63,21.0,2025-03-11 11:15:06
66,21.0,2025-03-11 11:15:07
68,22.0,2025-03-11 11:15:08
71,23.0,2025-03-11 11:15:09
74,23.0,2025-03-11 11:15:10
76,23.0,2025-03-11 11:15:11
79,22.0,2025-03-11 11:15:12
82,22.0,2025-03-11 11:15:13
85,22.0,2025-03-11 11:15:14
87,23.0,2025-03-11 11:15:15
90,22.0,2025-03-11 11:15:16
93,22.0,2025-03-11 11:15:17
95,22.0,2025-03-11 11:15:18
98,23.0,2025-03-11 11:15:19
100,23.0,2025-03-11 11:15:20
103,23.0,2025-03-11 11:15:21
106,23.0,2025-03-11 11:15:22
108,23.0,2025-03-11 11:15:23
111,23.0,2025-03-11 11:15:24
113,22.0,2025-03-11 11:15:25
116,22.0,2025-03-11 11:15:26
118,22.0,2025-03-11 11:15:27
121,23.0,2025-03-11 11:15:28
124,23.0,2025-03-11 11:15:29
126,22.0,2025-03-11 11:15:30
129,22.0,2025-03-11 11:15:31
131,23.0,2025-03-11 11:15:32
134,23.0,2025-03-11 11:15:33
136,23.0,2025-03-11 11:15:34
139,22.0,2025-03-11 11:15:35
142,22.0,2025-03-11 11:15:36
144,22.0,2025-03-11 11:15:37
147,22.0,2025-03-11 11:15:38
149,22.0,2025-03-11 11:15:39
152,22.0,2025-03-11 11:15:40
154,22.0,2025-03-11 11:15:41
157,21.0,2025-03-11 11:15:42
159,21.0,2025-03-11 11:15:43
162,21.0,2025-03-11 11:15:44
165,21.0,2025-03-11 11:15:45
167,21.0,2025-03-11 11:15:46
170,21.0,2025-03-11 11:15:47
172,22.0,2025-03-11 11:15:48
175,22.0,2025-03-11 11:15:49
178,22.0,2025-03-11 11:15:50
180,22.0,2025-03-11 11:15:51
183,22.0,2025-03-11 11:15:52
186,22.0,2025-03-11 11:15:53
189,22.0,2025-03-11 11:15:54
191,22.0,2025-03-11 11:15:55
194,22.0,2025-03-11 11:15:56
197,22.0,2025-03-11 11:15:57
199,22.0,2025-03-11 11:15:58
202,22.0,2025-03-11 11:15:59
205,22.0,2025-03-11 11:16:00
208,22.0,2025-03-11 11:16:01
210,22.0,2025-03-11 11:16:02
213,22.0,2025-03-11 11:16:03
216,22.0,2025-03-11 11:16:04
218,21.0,2025-03-11 11:16:05
221,21.0,2025-03-11 11:16:06
224,22.0,2025-03-11 11:16:07
226,22.0,2025-03-11 11:16:08
